Venue Category,Venue Mapping
Steakhouse,cuisine_restaurants
Harbor / Marina,nature_view
Opera House,stores_daily_conveniences
Tailor Shop,stores_daily_conveniences
Sculpture Garden,nature_view
Aquarium,nature_view
Resort,tourist_interest
Rest Area,nature_view
Farm,nature_view
Design Studio,arts_culture_recreation
Metro Station,transport_vicinity
Hot Dog Joint,café_fastfoods
Jewelry Store,stores_daily_conveniences
Building,kids_family_residential
Soccer Stadium,sports_fitness
Tex-Mex Restaurant,regular_restaurants
Dhaba,regular_restaurants
Club House,sports_fitness
Antique Shop,shopping
Boat or Ferry,nature_view
Comedy Club,arts_culture_recreation
Planetarium,tourist_interest
Factory,business_hub
College Gym,education_colleges
Kids Store,kids_family_residential
Beer Garden,bars_nightlife
Gas Station,transport_vicinity
Rental Car Location,stores_daily_conveniences
Toll Plaza,transport_vicinity
Beer Bar,bars_nightlife
Amphitheater,arts_culture_recreation
Outdoor Sculpture,arts_culture_recreation
Gujarati Restaurant,regular_restaurants
Chaat Place,café_fastfoods
River,nature_view
Recording Studio,arts_culture_recreation
Mountain,nature_view
Trail,nature_view
Music Store,arts_culture_recreation
Indoor Play Area,sports_fitness
Business Service,business_hub
Intersection,kids_family_residential
Pier,nature_view
Hotel Pool,tourist_interest
Cheese Shop,stores_daily_conveniences
Gaming Cafe,kids_family_residential
Multicuisine Indian Restaurant,regular_restaurants
Soup Place,regular_restaurants
Government Building,business_hub
Convention Center,business_hub
Hawaiian Restaurant,cuisine_restaurants
City,kids_family_residential
Parsi Restaurant,cuisine_restaurants
Hostel,tourist_interest
Whisky Bar,bars_nightlife
Airport Terminal,transport_vicinity
African Restaurant,regular_restaurants
Pool Hall,sports_fitness
Candy Store,stores_daily_conveniences
Airport Lounge,transport_vicinity
Airport Service,transport_vicinity
Duty-free Shop,transport_vicinity
Airport Food Court,transport_vicinity
Nightlife Spot,bars_nightlife
Dog Run,kids_family_residential
Social Club,kids_family_residential
English Restaurant,cuisine_restaurants
Track Stadium,sports_fitness
Coworking Space,business_hub
Business Center,business_hub
Martial Arts Dojo,arts_culture_recreation
