index,Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf,Latitude,Longitude
543,Vile Parle (West),"Rs.27,668 - 32,555/sq. ft.","27,668 - 32,555",27668.0,32555.0,30111.5,11.71%,"Rs.30,903 - 37,995","30,903 - 37,995",30903.0,37995.0,34449.0,114%,"Rs.54,713 - 63,072","54,713 - 63,072",54713.0,63072.0,58892.5,196%,,,,,,,19.1038725,72.8402903
544,Vinay Nagar,"Rs.7,012 - 7,990/sq. ft.","7,012 - 7,990",7012.0,7990.0,7501.0,5.42%,,,,,,,,,,,,,,,,,,,19.0763472,72.90562015
545,Virar,"Rs.4,080 - 4,718/sq. ft.","4,080 - 4,718",4080.0,4718.0,4399.0,5.05%,"Rs.4,684 - 5,620","4,684 - 5,620",4684.0,5620.0,5152.0,117%,"Rs.6,044 - 7,386","6,044 - 7,386",6044.0,7386.0,6715.0,153%,"Rs.6,916 - 8,644","6,916 - 8,644",6916.0,8644.0,7780.0,177%,19.4676823,72.8879975
546,Virar East,"Rs.3,442 - 4,335/sq. ft.","3,442 - 4,335",3442.0,4335.0,3888.5,1.11%,"Rs.3,995 - 5,194","3,995 - 5,194",3995.0,5194.0,4594.5,118%,,,,,,,,,,,,,19.4676823,72.8879975
547,Virar West,"Rs.4,165 - 4,760/sq. ft.","4,165 - 4,760",4165.0,4760.0,4462.5,5%,"Rs.4,684 - 5,620","4,684 - 5,620",4684.0,5620.0,5152.0,115%,"Rs.6,044 - 7,386","6,044 - 7,386",6044.0,7386.0,6715.0,150%,"Rs.6,916 - 8,644","6,916 - 8,644",6916.0,8644.0,7780.0,174%,19.4676823,72.8879975
548,Vishnunagar,"Rs.5,865 - 7,438/sq. ft.","5,865 - 7,438",5865.0,7438.0,6651.5,-7.78%,,,,,,,,,,,,,,,,,,,,
549,Vitawa,"Rs.5,015 - 5,695/sq. ft.","5,015 - 5,695",5015.0,5695.0,5355.0,,,,,,,,,,,,,,,,,,,,,
550,Wadala,"Rs.18,742 - 21,250/sq. ft.","18,742 - 21,250",18742.0,21250.0,19996.0,-1.68%,"Rs.31,640 - 34,517","31,640 - 34,517",31640.0,34517.0,33078.5,165%,"Rs.47,369 - 55,264","47,369 - 55,264",47369.0,55264.0,51316.5,257%,"Rs.59,900 - 67,886","59,900 - 67,886",59900.0,67886.0,63893.0,320%,19.0269192,72.8759337
551,Wadala East,"Rs.19,040 - 21,080/sq. ft.","19,040 - 21,080",19040.0,21080.0,20060.0,-1.25%,"Rs.29,060 - 31,261","29,060 - 31,261",29060.0,31261.0,30160.5,150%,"Rs.44,870 - 49,949","44,870 - 49,949",44870.0,49949.0,47409.5,236%,"Rs.61,883 - 69,782","61,883 - 69,782",61883.0,69782.0,65832.5,328%,19.0269192,72.8759337
552,Wadala West,"Rs.22,440 - 25,288/sq. ft.","22,440 - 25,288",22440.0,25288.0,23864.0,,"Rs.39,046 - 42,299","39,046 - 42,299",39046.0,42299.0,40672.5,170%,"Rs.48,746 - 55,967","48,746 - 55,967",48746.0,55967.0,52356.5,219%,,,,,,,19.0269192,72.8759337
553,Waghbil,"Rs.8,202 - 8,798/sq. ft.","8,202 - 8,798",8202.0,8798.0,8500.0,0%,"Rs.11,144 - 12,597","11,144 - 12,597",11144.0,12597.0,11870.5,140%,"Rs.14,793 - 17,908","14,793 - 17,908",14793.0,17908.0,16350.5,192%,,,,,,,,
554,Walkeshwar,"Rs.46,198 - 57,248/sq. ft.","46,198 - 57,248",46198.0,57248.0,51723.0,,,,,,,,,,,,,,"Rs.1,87,680 - 2,08,080","1,87,680 - 2,08,080",187680.0,208080.0,197880.0,383%,18.9551434,72.8077962
555,Wayale Nagar,"Rs.5,312 - 6,078/sq. ft.","5,312 - 6,078",5312.0,6078.0,5695.0,-9.79%,,,,,,,,,,,,,,,,,,,,
556,Wayle Nagar,"Rs.5,908 - 6,588/sq. ft.","5,908 - 6,588",5908.0,6588.0,6248.0,0.69%,"Rs.6,763 - 8,323","6,763 - 8,323",6763.0,8323.0,7543.0,121%,"Rs.10,498 - 12,112","10,498 - 12,112",10498.0,12112.0,11305.0,181%,,,,,,,,
557,Worli,"Rs.32,852 - 38,462/sq. ft.","32,852 - 38,462",32852.0,38462.0,35657.0,2.48%,"Rs.26,392 - 34,808","26,392 - 34,808",26392.0,34808.0,30600.0,86%,"Rs.74,078 - 89,250","74,078 - 89,250",74078.0,89250.0,81664.0,229%,"Rs.1,54,460 - 1,95,769","1,54,460 - 1,95,769",154460.0,195769.0,175114.5,491%,19.0116962,72.8180702
558,Y K Nagar,"Rs.5,100 - 5,398/sq. ft.","5,100 - 5,398",5100.0,5398.0,5249.0,0%,,,,,,,,,,,,,,,,,,,19.02629785,72.8730334528536
559,Yari Road,"Rs.18,530 - 20,825/sq. ft.","18,530 - 20,825",18530.0,20825.0,19677.5,-1.69%,"Rs.26,775 - 31,025","26,775 - 31,025",26775.0,31025.0,28900.0,147%,"Rs.47,660 - 52,198","47,660 - 52,198",47660.0,52198.0,49929.0,254%,,,,,,,19.1394017,72.8079157
560,Yogi Nagar,"Rs.16,448 - 17,808/sq. ft.","16,448 - 17,808",16448.0,17808.0,17128.0,-0.48%,,,,,,,,,,,,,,,,,,,19.2350835,72.8437131
561,Yogidham,"Rs.5,525 - 6,418/sq. ft.","5,525 - 6,418",5525.0,6418.0,5971.5,7.81%,"Rs.6,818 - 8,391","6,818 - 8,391",6818.0,8391.0,7604.5,127%,,,,,,,,,,,,,,
