index,Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf,Latitude,Longitude
46,Bhayander (East),"Rs.7,055 - 8,330/sq. ft.","7,055 - 8,330",7055.0,8330.0,7692.5,3.39%,"Rs.9,282 - 11,050","9,282 - 11,050",9282.0,11050.0,10166.0,132%,"Rs.12,971 - 14,268","12,971 - 14,268",12971.0,14268.0,13619.5,177%,,,,,,,,
47,Bhayander (West),"Rs.6,928 - 8,712/sq. ft.","6,928 - 8,712",6928.0,8712.0,7820.0,5.14%,,,,,,,,,,,,,,,,,,,,
48,Bhivpuri,"Rs.2,168 - 2,678/sq. ft.","2,168 - 2,678",2168.0,2678.0,2423.0,,,,,,,,,,,,,,,,,,,,,
49,Bhiwandi,"Rs.3,315 - 4,335/sq. ft.","3,315 - 4,335",3315.0,4335.0,3825.0,-3.26%,"Rs.4,483 - 5,479","4,483 - 5,479",4483.0,5479.0,4981.0,130%,"Rs.8,181 - 9,669","8,181 - 9,669",8181.0,9669.0,8925.0,233%,,,,,,,,
50,Boisar,"Rs.2,678 - 3,315/sq. ft.","2,678 - 3,315",2678.0,3315.0,2996.5,-2.9%,,,,,,,,,,,,,,,,,,,19.204998,72.8644448
51,Bolinj,"Rs.4,122 - 4,548/sq. ft.","4,122 - 4,548",4122.0,4548.0,4335.0,-1.94%,,,,,,,,,,,,,,,,,,,,
52,Borivali (East),"Rs.14,662 - 16,702/sq. ft.","14,662 - 16,702",14662.0,16702.0,15682.0,0.27%,"Rs.14,941 - 18,017","14,941 - 18,017",14941.0,18017.0,16479.0,105%,"Rs.26,086 - 30,039","26,086 - 30,039",26086.0,30039.0,28062.5,179%,"Rs.38,208 - 44,370","38,208 - 44,370",38208.0,44370.0,41289.0,263%,19.2267228,72.8619328
53,Borivali (West),"Rs.15,598 - 18,232/sq. ft.","15,598 - 18,232",15598.0,18232.0,16915.0,1.27%,"Rs.15,262 - 18,314","15,262 - 18,314",15262.0,18314.0,16788.0,99%,"Rs.23,113 - 28,016","23,113 - 28,016",23113.0,28016.0,25564.5,151%,"Rs.34,193 - 37,301","34,193 - 37,301",34193.0,37301.0,35747.0,211%,19.2294561,72.8479905
54,Brahmand,"Rs.8,245 - 8,968/sq. ft.","8,245 - 8,968",8245.0,8968.0,8606.5,2.54%,"Rs.11,016 - 11,934","11,016 - 11,934",11016.0,11934.0,11475.0,133%,"Rs.15,172 - 17,340","15,172 - 17,340",15172.0,17340.0,16256.0,189%,,,,,,,,
55,Breach Candy,"Rs.46,452 - 56,908/sq. ft.","46,452 - 56,908",46452.0,56908.0,51680.0,-7.87%,"Rs.73,480 - 90,643","73,480 - 90,643",73480.0,90643.0,82061.5,159%,"Rs.1,19,340 - 1,38,720","1,19,340 - 1,38,720",119340.0,138720.0,129030.0,250%,"Rs.2,02,618 - 2,32,269","2,02,618 - 2,32,269",202618.0,232269.0,217443.5,421%,18.9718962,72.8040315551972
56,Budhaji Nagar,"Rs.7,438 - 9,095/sq. ft.","7,438 - 9,095",7438.0,9095.0,8266.5,,"Rs.8,925 - 11,602","8,925 - 11,602",8925.0,11602.0,10263.5,124%,,,,,,,,,,,,,,
57,Byculla,"Rs.27,200 - 30,345/sq. ft.","27,200 - 30,345",27200.0,30345.0,28772.5,-2.8%,"Rs.24,072 - 26,520","24,072 - 26,520",24072.0,26520.0,25296.0,88%,,,,,,,,,,,,,18.9766219,72.8327936
58,Byculla East,"Rs.29,452 - 30,345/sq. ft.","29,452 - 30,345",29452.0,30345.0,29898.5,-3.26%,,,,,,,,,,,,,,,,,,,18.9736935,72.8367795
59,Byculla West,"Rs.20,060 - 22,568/sq. ft.","20,060 - 22,568",20060.0,22568.0,21314.0,,"Rs.25,075 - 27,200","25,075 - 27,200",25075.0,27200.0,26137.5,123%,,,,,,,,,,,,,18.9750879,72.8282502
60,Cama Industrial Estate,"Rs.15,342 - 15,938/sq. ft.","15,342 - 15,938",15342.0,15938.0,15640.0,0%,,,,,,,,,,,,,,,,,,,,
61,Chakala,"Rs.17,128 - 20,188/sq. ft.","17,128 - 20,188",17128.0,20188.0,18658.0,8.05%,"Rs.16,565 - 18,635","16,565 - 18,635",16565.0,18635.0,17600.0,94%,"Rs.39,100 - 46,138","39,100 - 46,138",39100.0,46138.0,42619.0,228%,,,,,,,19.1152873,72.8618085
62,Chamundeshwari Nagar,"Rs.50,448 - 59,500/sq. ft.","50,448 - 59,500",50448.0,59500.0,54974.0,-3.11%,,,,,,,"Rs.1,31,835 - 1,42,120","1,31,835 - 1,42,120",131835.0,142120.0,136977.5,249%,"Rs.1,85,426 - 2,01,824","1,85,426 - 2,01,824",185426.0,201824.0,193625.0,352%,,
63,Chanakya Nagar,"Rs.4,972 - 5,568/sq. ft.","4,972 - 5,568",4972.0,5568.0,5270.0,5.88%,,,,,,,,,,,,,,,,,,,19.2046539,72.8548369
64,Chandan Shanti,"Rs.7,225 - 7,778/sq. ft.","7,225 - 7,778",7225.0,7778.0,7501.5,-4.89%,,,,,,,,,,,,,,,,,,,,
65,Chandivali,"Rs.15,385 - 17,000/sq. ft.","15,385 - 17,000",15385.0,17000.0,16192.5,0.52%,"Rs.24,012 - 27,854","24,012 - 27,854",24012.0,27854.0,25933.0,160%,"Rs.39,100 - 42,500","39,100 - 42,500",39100.0,42500.0,40800.0,252%,"Rs.56,652 - 63,240","56,652 - 63,240",56652.0,63240.0,59946.0,370%,19.1091482,72.8945793
66,Charai,"Rs.10,625 - 12,325/sq. ft.","10,625 - 12,325",10625.0,12325.0,11475.0,5.22%,,,,,,,"Rs.20,655 - 25,474","20,655 - 25,474",20655.0,25474.0,23064.5,201%,,,,,,,,
67,Charkop,"Rs.11,858 - 13,048/sq. ft.","11,858 - 13,048",11858.0,13048.0,12453.0,0%,"Rs.15,895 - 17,298","15,895 - 17,298",15895.0,17298.0,16596.5,133%,"Rs.20,301 - 22,477","20,301 - 22,477",20301.0,22477.0,21389.0,172%,,,,,,,19.2141193,72.8258652
68,Chembur,"Rs.15,725 - 18,615/sq. ft.","15,725 - 18,615",15725.0,18615.0,17170.0,0%,"Rs.23,371 - 27,349","23,371 - 27,349",23371.0,27349.0,25360.0,148%,"Rs.37,523 - 44,194","37,523 - 44,194",37523.0,44194.0,40858.5,238%,"Rs.54,305 - 62,944","54,305 - 62,944",54305.0,62944.0,58624.5,341%,19.0612128,72.8975909
69,Chembur (East),"Rs.15,725 - 18,402/sq. ft.","15,725 - 18,402",15725.0,18402.0,17063.5,0.25%,"Rs.25,075 - 28,586","25,075 - 28,586",25075.0,28586.0,26830.5,157%,"Rs.38,250 - 45,050","38,250 - 45,050",38250.0,45050.0,41650.0,244%,"Rs.54,342 - 62,988","54,342 - 62,988",54342.0,62988.0,58665.0,344%,19.0460658,72.8954733
70,Chembur (West),"Rs.13,472 - 16,065/sq. ft.","13,472 - 16,065",13472.0,16065.0,14768.5,1.7%,"Rs.20,026 - 22,529","20,026 - 22,529",20026.0,22529.0,21277.5,144%,"Rs.27,455 - 32,512","27,455 - 32,512",27455.0,32512.0,29983.5,203%,,,,,,,19.0571098,72.8993875
71,Chikan Ghar,"Rs.5,865 - 6,715/sq. ft.","5,865 - 6,715",5865.0,6715.0,6290.0,-4.67%,,,,,,,"Rs.11,900 - 13,600","11,900 - 13,600",11900.0,13600.0,12750.0,203%,,,,,,,,
72,Chikhal Dongari,"Rs.4,080 - 4,675/sq. ft.","4,080 - 4,675",4080.0,4675.0,4377.5,2.97%,"Rs.4,530 - 5,890","4,530 - 5,890",4530.0,5890.0,5210.0,119%,"Rs.5,539 - 7,385","5,539 - 7,385",5539.0,7385.0,6462.0,148%,,,,,,,,
73,Chikholi,"Rs.3,060 - 3,358/sq. ft.","3,060 - 3,358",3060.0,3358.0,3209.0,2.74%,"Rs.3,820 - 4,366","3,820 - 4,366",3820.0,4366.0,4093.0,128%,,,,,,,,,,,,,,
74,Chikuwadi,"Rs.15,045 - 17,128/sq. ft.","15,045 - 17,128",15045.0,17128.0,16086.5,-0.51%,"Rs.15,667 - 18,278","15,667 - 18,278",15667.0,18278.0,16972.5,106%,,,,,,,,,,,,,,
75,Chincholi Bunder,"Rs.15,002 - 16,745/sq. ft.","15,002 - 16,745",15002.0,16745.0,15873.5,1.09%,"Rs.21,408 - 24,030","21,408 - 24,030",21408.0,24030.0,22719.0,143%,"Rs.26,596 - 29,763","26,596 - 29,763",26596.0,29763.0,28179.5,178%,,,,,,,19.1792508,72.838415
76,Churchgate,"Rs.40,928 - 50,575/sq. ft.","40,928 - 50,575",40928.0,50575.0,45751.5,1.32%,,,,,,,,,,,,,"Rs.1,59,173 - 2,08,823","1,59,173 - 2,08,823",159173.0,208823.0,183998.0,402%,18.9339273,72.8273494
77,Churi Wadi,"Rs.14,705 - 15,725/sq. ft.","14,705 - 15,725",14705.0,15725.0,15215.0,,,,,,,,,,,,,,,,,,,,,
78,Colaba,"Rs.36,720 - 45,688/sq. ft.","36,720 - 45,688",36720.0,45688.0,41204.0,0.53%,"Rs.50,490 - 56,100","50,490 - 56,100",50490.0,56100.0,53295.0,129%,"Rs.79,700 - 94,881","79,700 - 94,881",79700.0,94881.0,87290.5,212%,"Rs.1,60,380 - 1,90,281","1,60,380 - 1,90,281",160380.0,190281.0,175330.5,426%,18.915091,72.8259691
79,Collectors Colony Chembur,"Rs.16,278 - 17,595/sq. ft.","16,278 - 17,595",16278.0,17595.0,16936.5,,"Rs.24,840 - 26,751","24,840 - 26,751",24840.0,26751.0,25795.5,152%,"Rs.31,633 - 35,850","31,633 - 35,850",31633.0,35850.0,33741.5,199%,,,,,,,,
80,Cuffe Parade,"Rs.47,728 - 56,738/sq. ft.","47,728 - 56,738",47728.0,56738.0,52233.0,-1.14%,,,,,,,"Rs.1,10,106 - 1,25,589","1,10,106 - 1,25,589",110106.0,125589.0,117847.5,226%,"Rs.1,67,290 - 2,00,483","1,67,290 - 2,00,483",167290.0,200483.0,183886.5,352%,18.9136406,72.8209295
81,Dadar,"Rs.29,112 - 36,380/sq. ft.","29,112 - 36,380",29112.0,36380.0,32746.0,-0.92%,"Rs.27,399 - 32,416","27,399 - 32,416",27399.0,32416.0,29907.5,91%,"Rs.65,450 - 79,050","65,450 - 79,050",65450.0,79050.0,72250.0,221%,"Rs.1,32,567 - 1,72,479","1,32,567 - 1,72,479",132567.0,172479.0,152523.0,466%,19.0238229,72.8394269
82,Dadar (East),"Rs.25,458 - 28,772/sq. ft.","25,458 - 28,772",25458.0,28772.0,27115.0,1%,"Rs.35,182 - 37,592","35,182 - 37,592",35182.0,37592.0,36387.0,134%,"Rs.59,500 - 72,250","59,500 - 72,250",59500.0,72250.0,65875.0,243%,"Rs.1,22,464 - 1,39,753","1,22,464 - 1,39,753",122464.0,139753.0,131108.5,484%,19.0238229,72.8394269
83,Dadar (West),"Rs.31,152 - 37,230/sq. ft.","31,152 - 37,230",31152.0,37230.0,34191.0,-2.59%,"Rs.27,158 - 32,130","27,158 - 32,130",27158.0,32130.0,29644.0,87%,"Rs.65,450 - 80,750","65,450 - 80,750",65450.0,80750.0,73100.0,214%,"Rs.1,34,152 - 1,75,539","1,34,152 - 1,75,539",134152.0,175539.0,154845.5,453%,19.0238887,72.8382236
84,Dahanukar Wadi,"Rs.14,280 - 16,745/sq. ft.","14,280 - 16,745",14280.0,16745.0,15512.5,-1.93%,,,,,,,,,,,,,,,,,,,18.9706172,72.8110344
85,Dahisar,"Rs.10,412 - 12,622/sq. ft.","10,412 - 12,622",10412.0,12622.0,11517.0,-0.37%,"Rs.13,064 - 14,866","13,064 - 14,866",13064.0,14866.0,13965.0,121%,"Rs.17,468 - 20,961","17,468 - 20,961",17468.0,20961.0,19214.5,167%,"Rs.25,296 - 26,350","25,296 - 26,350",25296.0,26350.0,25823.0,224%,19.2571784,72.8575361
86,Dahisar (East),"Rs.10,072 - 11,815/sq. ft.","10,072 - 11,815",10072.0,11815.0,10943.5,-1.55%,"Rs.12,566 - 13,913","12,566 - 13,913",12566.0,13913.0,13239.5,121%,"Rs.16,606 - 19,373","16,606 - 19,373",16606.0,19373.0,17989.5,164%,"Rs.25,255 - 26,308","25,255 - 26,308",25255.0,26308.0,25781.5,236%,19.2486925,72.8640593
87,Dahisar (West),"Rs.13,600 - 15,172/sq. ft.","13,600 - 15,172",13600.0,15172.0,14386.0,-2.31%,"Rs.14,866 - 16,218","14,866 - 16,218",14866.0,16218.0,15542.0,108%,"Rs.21,675 - 24,565","21,675 - 24,565",21675.0,24565.0,23120.0,161%,,,,,,,19.2483914,72.8525146
88,Dattapada,"Rs.15,598 - 17,722/sq. ft.","15,598 - 17,722",15598.0,17722.0,16660.0,4.47%,,,,,,,,,,,,,,,,,,,19.2209887,72.8556565
89,Daulat Nagar,"Rs.15,172 - 16,915/sq. ft.","15,172 - 16,915",15172.0,16915.0,16043.5,,,,,,,,,,,,,,,,,,,,19.2363783,72.8604927
90,Deonar,"Rs.17,680 - 21,208/sq. ft.","17,680 - 21,208",17680.0,21208.0,19444.0,5.01%,,,,,,,"Rs.40,429 - 47,311","40,429 - 47,311",40429.0,47311.0,43870.0,226%,"Rs.60,792 - 73,457","60,792 - 73,457",60792.0,73457.0,67124.5,345%,19.0475502,72.9051895
91,Desale Pada,"Rs.3,485 - 4,378/sq. ft.","3,485 - 4,378",3485.0,4378.0,3931.5,-3.23%,,,,,,,,,,,,,,,,,,,,
92,Devad,"Rs.4,122 - 4,675/sq. ft.","4,122 - 4,675",4122.0,4675.0,4398.5,-0.97%,,,,,,,,,,,,,,,,,,,,
93,Devicha Pada,"Rs.5,058 - 5,610/sq. ft.","5,058 - 5,610",5058.0,5610.0,5334.0,-0.79%,,,,,,,,,,,,,,,,,,,,
94,Devipada,"Rs.14,068 - 15,215/sq. ft.","14,068 - 15,215",14068.0,15215.0,14641.5,2.96%,,,,,,,,,,,,,,,,,,,19.2256037,72.8654301
95,Dhobi Ali,"Rs.10,328 - 10,922/sq. ft.","10,328 - 10,922",10328.0,10922.0,10625.0,5.93%,,,,,,,,,,,,,,,,,,,,
96,Dhokali,"Rs.9,392 - 10,412/sq. ft.","9,392 - 10,412",9392.0,10412.0,9902.0,-0.43%,"Rs.12,750 - 14,280","12,750 - 14,280",12750.0,14280.0,13515.0,136%,"Rs.17,536 - 20,586","17,536 - 20,586",17536.0,20586.0,19061.0,192%,"Rs.20,107 - 26,456","20,107 - 26,456",20107.0,26456.0,23281.5,235%,,
97,Dina Bama Estate,"Rs.14,535 - 15,428/sq. ft.","14,535 - 15,428",14535.0,15428.0,14981.5,-0.57%,"Rs.22,440 - 24,480","22,440 - 24,480",22440.0,24480.0,23460.0,157%,"Rs.27,044 - 28,363","27,044 - 28,363",27044.0,28363.0,27703.5,185%,"Rs.40,358 - 45,403","40,358 - 45,403",40358.0,45403.0,42880.5,286%,19.1401586,72.9370703
98,Dindoshi,"Rs.14,365 - 16,872/sq. ft.","14,365 - 16,872",14365.0,16872.0,15618.5,12.01%,"Rs.19,354 - 21,879","19,354 - 21,879",19354.0,21879.0,20616.5,132%,"Rs.27,455 - 33,235","27,455 - 33,235",27455.0,33235.0,30345.0,194%,"Rs.49,966 - 54,509","49,966 - 54,509",49966.0,54509.0,52237.5,334%,19.1740198,72.8695219
99,Diva Gaon,"Rs.2,380 - 2,762/sq. ft.","2,380 - 2,762",2380.0,2762.0,2571.0,,,,,,,,,,,,,,,,,,,,19.1482333,72.9951812
100,DN Nagar,"Rs.18,148 - 21,250/sq. ft.","18,148 - 21,250",18148.0,21250.0,19699.0,-1.91%,,,,,,,"Rs.36,125 - 43,350","36,125 - 43,350",36125.0,43350.0,39737.5,202%,"Rs.54,835 - 71,808","54,835 - 71,808",54835.0,71808.0,63321.5,321%,19.1270248,72.8327606
101,Dokali Pada,"Rs.9,052 - 10,328/sq. ft.","9,052 - 10,328",9052.0,10328.0,9690.0,2.7%,,,,,,,"Rs.17,497 - 21,301","17,497 - 21,301",17497.0,21301.0,19399.0,200%,,,,,,,,
102,Dombivli (East),"Rs.5,270 - 6,035/sq. ft.","5,270 - 6,035",5270.0,6035.0,5652.5,1.53%,"Rs.6,365 - 7,834","6,365 - 7,834",6365.0,7834.0,7099.5,126%,"Rs.9,381 - 10,825","9,381 - 10,825",9381.0,10825.0,10103.0,179%,"Rs.10,266 - 13,066","10,266 - 13,066",10266.0,13066.0,11666.0,206%,,
103,Dombivli (West),"Rs.5,185 - 5,950/sq. ft.","5,185 - 5,950",5185.0,5950.0,5567.5,0%,,,,,,,"Rs.7,684 - 9,989","7,684 - 9,989",7684.0,9989.0,8836.5,159%,,,,,,,,
104,Dongarpada,"Rs.3,740 - 4,930/sq. ft.","3,740 - 4,930",3740.0,4930.0,4335.0,,,,,,,,,,,,,,,,,,,,19.1665728,72.7978985
105,Dronagiri,"Rs.4,080 - 4,675/sq. ft.","4,080 - 4,675",4080.0,4675.0,4377.5,5.15%,,,,,,,,,,,,,,,,,,,,
106,Eksar,"Rs.15,640 - 17,510/sq. ft.","15,640 - 17,510",15640.0,17510.0,16575.0,,,,,,,,,,,,,,,,,,,,19.2410258,72.844074
107,Ekta Nagar,"Rs.9,478 - 10,795/sq. ft.","9,478 - 10,795",9478.0,10795.0,10136.5,12.26%,"Rs.12,342 - 14,212","12,342 - 14,212",12342.0,14212.0,13277.0,131%,,,,,,,,,,,,,19.0526072,72.9378692
108,Evershine Nagar,"Rs.14,025 - 15,555/sq. ft.","14,025 - 15,555",14025.0,15555.0,14790.0,-2.25%,"Rs.15,580 - 17,978","15,580 - 17,978",15580.0,17978.0,16779.0,113%,"Rs.29,070 - 31,492","29,070 - 31,492",29070.0,31492.0,30281.0,205%,,,,,,,19.12943095,72.8235614133906
109,Film City Road,"Rs.14,705 - 16,745/sq. ft.","14,705 - 16,745",14705.0,16745.0,15725.0,3.59%,"Rs.20,918 - 23,192","20,918 - 23,192",20918.0,23192.0,22055.0,140%,"Rs.33,017 - 37,250","33,017 - 37,250",33017.0,37250.0,35133.5,223%,"Rs.39,419 - 43,924","39,419 - 43,924",39419.0,43924.0,41671.5,265%,19.1735401,72.8742711
110,G B Road,"Rs.8,372 - 9,902/sq. ft.","8,372 - 9,902",8372.0,9902.0,9137.0,1.91%,,,,,,,,,,,,,,,,,,,18.935097,72.8255707
111,Gamdevi,"Rs.38,718 - 49,342/sq. ft.","38,718 - 49,342",38718.0,49342.0,44030.0,0%,,,,,,,,,,,,,,,,,,,18.9584855,72.8122522
112,Gandhar Nagar,"Rs.5,780 - 6,460/sq. ft.","5,780 - 6,460",5780.0,6460.0,6120.0,0%,"Rs.7,140 - 8,160","7,140 - 8,160",7140.0,8160.0,7650.0,125%,"Rs.10,498 - 12,112","10,498 - 12,112",10498.0,12112.0,11305.0,185%,,,,,,,,
113,Gandhi Nagar,"Rs.29,792 - 34,425/sq. ft.","29,792 - 34,425",29792.0,34425.0,32108.5,-0.64%,,,,,,,,,,,,,"Rs.1,48,750 - 1,75,525","1,48,750 - 1,75,525",148750.0,175525.0,162137.5,505%,19.05804,72.8472584
114,Ganesh Nagar,"Rs.13,728 - 15,002/sq. ft.","13,728 - 15,002",13728.0,15002.0,14365.0,-1.15%,"Rs.19,168 - 21,038","19,168 - 21,038",19168.0,21038.0,20103.0,140%,"Rs.29,338 - 33,099","29,338 - 33,099",29338.0,33099.0,31218.5,217%,"Rs.40,162 - 47,048","40,162 - 47,048",40162.0,47048.0,43605.0,304%,19.1515483,72.9300624
115,Garodia Nagar,"Rs.18,360 - 20,868/sq. ft.","18,360 - 20,868",18360.0,20868.0,19614.0,,,,,,,,,,,,,,,,,,,,19.0742044,72.909477
116,Gauripada,"Rs.5,228 - 6,035/sq. ft.","5,228 - 6,035",5228.0,6035.0,5631.5,2.96%,,,,,,,,,,,,,,,,,,,,
117,Gavanpada,"Rs.14,705 - 16,235/sq. ft.","14,705 - 16,235",14705.0,16235.0,15470.0,,"Rs.14,884 - 19,699","14,884 - 19,699",14884.0,19699.0,17291.5,112%,,,,,,,,,,,,,,
118,Gawand Baug,"Rs.9,648 - 10,838/sq. ft.","9,648 - 10,838",9648.0,10838.0,10243.0,2.15%,,,,,,,,,,,,,,,,,,,,
119,Geeta Nagar,"Rs.6,758 - 8,118/sq. ft.","6,758 - 8,118",6758.0,8118.0,7438.0,-6.45%,,,,,,,,,,,,,,,,,,,18.9138325,72.8085422
120,Ghansoli,"Rs.9,945 - 11,900/sq. ft.","9,945 - 11,900",9945.0,11900.0,10922.5,-2.27%,"Rs.11,302 - 13,185","11,302 - 13,185",11302.0,13185.0,12243.5,112%,"Rs.22,100 - 25,500","22,100 - 25,500",22100.0,25500.0,23800.0,218%,"Rs.31,280 - 37,536","31,280 - 37,536",31280.0,37536.0,34408.0,315%,19.11637965,73.0069927914504
121,Ghatkopar (East),"Rs.16,575 - 20,315/sq. ft.","16,575 - 20,315",16575.0,20315.0,18445.0,3.66%,"Rs.20,400 - 24,480","20,400 - 24,480",20400.0,24480.0,22440.0,122%,"Rs.31,365 - 38,250","31,365 - 38,250",31365.0,38250.0,34807.5,189%,"Rs.53,326 - 63,248","53,326 - 63,248",53326.0,63248.0,58287.0,316%,19.0834898,72.9120255
122,Ghatkopar West,"Rs.15,385 - 17,000/sq. ft.","15,385 - 17,000",15385.0,17000.0,16192.5,-1.29%,"Rs.20,385 - 22,811","20,385 - 22,811",20385.0,22811.0,21598.0,133%,"Rs.37,141 - 41,268","37,141 - 41,268",37141.0,41268.0,39204.5,242%,"Rs.56,419 - 65,195","56,419 - 65,195",56419.0,65195.0,60807.0,376%,19.0897194,72.9045972
123,Ghodbunder Road,"Rs.8,500 - 10,412/sq. ft.","8,500 - 10,412",8500.0,10412.0,9456.0,0.46%,"Rs.11,613 - 14,642","11,613 - 14,642",11613.0,14642.0,13127.5,139%,"Rs.16,833 - 20,840","16,833 - 20,840",16833.0,20840.0,18836.5,199%,"Rs.25,787 - 31,648","25,787 - 31,648",25787.0,31648.0,28717.5,304%,,
124,Ghodev,"Rs.7,098 - 7,948/sq. ft.","7,098 - 7,948",7098.0,7948.0,7523.0,4.19%,,,,,,,,,,,,,,,,,,,,
125,Girgaon,"Rs.27,540 - 32,725/sq. ft.","27,540 - 32,725",27540.0,32725.0,30132.5,,,,,,,,,,,,,,,,,,,,18.9543165,72.8179082
126,Gograswadi,"Rs.5,525 - 6,375/sq. ft.","5,525 - 6,375",5525.0,6375.0,5950.0,,,,,,,,,,,,,,,,,,,,,
127,Gokul Township,"Rs.4,760 - 5,228/sq. ft.","4,760 - 5,228",4760.0,5228.0,4994.0,0%,,,,,,,,,,,,,,,,,,,,
128,Gokuldham,"Rs.14,280 - 15,640/sq. ft.","14,280 - 15,640",14280.0,15640.0,14960.0,-3.29%,"Rs.19,125 - 21,250","19,125 - 21,250",19125.0,21250.0,20187.5,135%,"Rs.36,168 - 40,078","36,168 - 40,078",36168.0,40078.0,38123.0,255%,"Rs.53,491 - 59,975","53,491 - 59,975",53491.0,59975.0,56733.0,379%,19.1738527,72.8670935
129,Gorai,"Rs.14,578 - 17,892/sq. ft.","14,578 - 17,892",14578.0,17892.0,16235.0,13.54%,,,,,,,,,,,,,,,,,,,19.241013,72.7821985
130,Goregaon (East),"Rs.15,088 - 18,232/sq. ft.","15,088 - 18,232",15088.0,18232.0,16660.0,-2.26%,"Rs.19,518 - 22,695","19,518 - 22,695",19518.0,22695.0,21106.5,127%,"Rs.33,150 - 38,250","33,150 - 38,250",33150.0,38250.0,35700.0,214%,"Rs.62,135 - 73,695","62,135 - 73,695",62135.0,73695.0,67915.0,408%,19.1692623,72.8552548
131,Goregaon (West),"Rs.15,682 - 18,360/sq. ft.","15,682 - 18,360",15682.0,18360.0,17021.0,3.9%,"Rs.20,102 - 23,842","20,102 - 23,842",20102.0,23842.0,21972.0,129%,"Rs.32,094 - 36,679","32,094 - 36,679",32094.0,36679.0,34386.5,202%,"Rs.48,319 - 56,185","48,319 - 56,185",48319.0,56185.0,52252.0,307%,19.1633281,72.8411995
132,Govandi,"Rs.12,835 - 16,532/sq. ft.","12,835 - 16,532",12835.0,16532.0,14683.5,3.78%,,,,,,,,,,,,,,,,,,,19.0553688,72.9150702
133,Hanuman Nagar,"Rs.11,432 - 13,642/sq. ft.","11,432 - 13,642",11432.0,13642.0,12537.0,6.81%,,,,,,,,,,,,,,,,,,,19.0080072,72.8236164
134,Hanuman Nagar,"Rs.34,128 - 40,588/sq. ft.","34,128 - 40,588",34128.0,40588.0,37358.0,4.85%,,,,,,,,,,,,,"Rs.1,73,442 - 2,18,492","1,73,442 - 2,18,492",173442.0,218492.0,195967.0,525%,19.0080072,72.8236164
135,Hatkesh Udhog Nagar,"Rs.7,012 - 7,778/sq. ft.","7,012 - 7,778",7012.0,7778.0,7395.0,2.35%,"Rs.9,139 - 10,445","9,139 - 10,445",9139.0,10445.0,9792.0,132%,"Rs.12,179 - 13,532","12,179 - 13,532",12179.0,13532.0,12855.5,174%,,,,,,,,
136,Hemu Colony,"Rs.13,388 - 15,088/sq. ft.","13,388 - 15,088",13388.0,15088.0,14238.0,,,,,,,,,,,,,,,,,,,,19.13949415,72.829121534034
137,Hendre Pada,"Rs.3,485 - 3,868/sq. ft.","3,485 - 3,868",3485.0,3868.0,3676.5,0%,,,,,,,,,,,,,,,,,,,,
138,Hindu Colony,"Rs.31,238 - 34,170/sq. ft.","31,238 - 34,170",31238.0,34170.0,32704.0,,,,,,,,,,,,,,,,,,,,19.0199623,72.8478929
139,Hiranandani Estate,"Rs.11,348 - 13,218/sq. ft.","11,348 - 13,218",11348.0,13218.0,12283.0,-0.34%,"Rs.15,810 - 17,340","15,810 - 17,340",15810.0,17340.0,16575.0,135%,"Rs.21,619 - 24,021","21,619 - 24,021",21619.0,24021.0,22820.0,186%,"Rs.30,451 - 34,105","30,451 - 34,105",30451.0,34105.0,32278.0,263%,,
140,Hiranandani Gardens - Powai,"Rs.25,500 - 30,685/sq. ft.","25,500 - 30,685",25500.0,30685.0,28092.5,-1.19%,"Rs.29,325 - 34,212","29,325 - 34,212",29325.0,34212.0,31768.5,113%,"Rs.52,006 - 61,384","52,006 - 61,384",52006.0,61384.0,56695.0,202%,"Rs.89,972 - 1,09,692","89,972 - 1,09,692",89972.0,109692.0,99832.0,355%,19.1192046,72.9072743420378
141,Hiranandani Meadows,"Rs.14,620 - 17,000/sq. ft.","14,620 - 17,000",14620.0,17000.0,15810.0,-6.09%,,,,,,,"Rs.25,474 - 28,022","25,474 - 28,022",25474.0,28022.0,26748.0,169%,"Rs.33,048 - 37,944","33,048 - 37,944",33048.0,37944.0,35496.0,225%,,
142,I C Colony,"Rs.14,832 - 16,872/sq. ft.","14,832 - 16,872",14832.0,16872.0,15852.0,0.53%,"Rs.14,198 - 15,973","14,198 - 15,973",14198.0,15973.0,15085.5,95%,"Rs.23,399 - 25,663","23,399 - 25,663",23399.0,25663.0,24531.0,155%,,,,,,,19.2446251,72.8479254
143,Irani Wadi,"Rs.14,705 - 17,128/sq. ft.","14,705 - 17,128",14705.0,17128.0,15916.5,,,,,,,,,,,,,,,,,,,,19.202316,72.842236
