Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Budhaji Nagar,"Rs.7,438 - 9,095/sq. ft.","7,438 - 9,095",7438,9095,8266.5,,"Rs.8,925 - 11,602","8,925 - 11,602",8925,11602,10263.5,124%,,,,,,,,,,,,
Byculla,"Rs.27,200 - 30,345/sq. ft.","27,200 - 30,345",27200,30345,28772.5,-2.8%,"Rs.24,072 - 26,520","24,072 - 26,520",24072,26520,25296,88%,,,,,,,,,,,,
Byculla East,"Rs.29,452 - 30,345/sq. ft.","29,452 - 30,345",29452,30345,29898.5,-3.26%,,,,,,,,,,,,,,,,,,
Byculla West,"Rs.20,060 - 22,568/sq. ft.","20,060 - 22,568",20060,22568,21314,,"Rs.25,075 - 27,200","25,075 - 27,200",25075,27200,26137.5,123%,,,,,,,,,,,,
Cama Industrial Estate,"Rs.15,342 - 15,938/sq. ft.","15,342 - 15,938",15342,15938,15640,0%,,,,,,,,,,,,,,,,,,
Chakala,"Rs.17,128 - 20,188/sq. ft.","17,128 - 20,188",17128,20188,18658,8.05%,"Rs.16,565 - 18,635","16,565 - 18,635",16565,18635,17600,94%,"Rs.39,100 - 46,138","39,100 - 46,138",39100,46138,42619,228%,,,,,,
Chamundeshwari Nagar,"Rs.50,448 - 59,500/sq. ft.","50,448 - 59,500",50448,59500,54974,-3.11%,,,,,,,"Rs.1,31,835 - 1,42,120","1,31,835 - 1,42,120",131835,142120,136977.5,249%,"Rs.1,85,426 - 2,01,824","1,85,426 - 2,01,824",185426,201824,193625,352%
Chanakya Nagar,"Rs.4,972 - 5,568/sq. ft.","4,972 - 5,568",4972,5568,5270,5.88%,,,,,,,,,,,,,,,,,,
Chandan Shanti,"Rs.7,225 - 7,778/sq. ft.","7,225 - 7,778",7225,7778,7501.5,-4.89%,,,,,,,,,,,,,,,,,,
Chandivali,"Rs.15,385 - 17,000/sq. ft.","15,385 - 17,000",15385,17000,16192.5,0.52%,"Rs.24,012 - 27,854","24,012 - 27,854",24012,27854,25933,160%,"Rs.39,100 - 42,500","39,100 - 42,500",39100,42500,40800,252%,"Rs.56,652 - 63,240","56,652 - 63,240",56652,63240,59946,370%
Charai,"Rs.10,625 - 12,325/sq. ft.","10,625 - 12,325",10625,12325,11475,5.22%,,,,,,,"Rs.20,655 - 25,474","20,655 - 25,474",20655,25474,23064.5,201%,,,,,,
Charkop,"Rs.11,858 - 13,048/sq. ft.","11,858 - 13,048",11858,13048,12453,0%,"Rs.15,895 - 17,298","15,895 - 17,298",15895,17298,16596.5,133%,"Rs.20,301 - 22,477","20,301 - 22,477",20301,22477,21389,172%,,,,,,
Chembur,"Rs.15,725 - 18,615/sq. ft.","15,725 - 18,615",15725,18615,17170,0%,"Rs.23,371 - 27,349","23,371 - 27,349",23371,27349,25360,148%,"Rs.37,523 - 44,194","37,523 - 44,194",37523,44194,40858.5,238%,"Rs.54,305 - 62,944","54,305 - 62,944",54305,62944,58624.5,341%
Chembur (East),"Rs.15,725 - 18,402/sq. ft.","15,725 - 18,402",15725,18402,17063.5,0.25%,"Rs.25,075 - 28,586","25,075 - 28,586",25075,28586,26830.5,157%,"Rs.38,250 - 45,050","38,250 - 45,050",38250,45050,41650,244%,"Rs.54,342 - 62,988","54,342 - 62,988",54342,62988,58665,344%
Chembur (West),"Rs.13,472 - 16,065/sq. ft.","13,472 - 16,065",13472,16065,14768.5,1.7%,"Rs.20,026 - 22,529","20,026 - 22,529",20026,22529,21277.5,144%,"Rs.27,455 - 32,512","27,455 - 32,512",27455,32512,29983.5,203%,,,,,,
Chikan Ghar,"Rs.5,865 - 6,715/sq. ft.","5,865 - 6,715",5865,6715,6290,-4.67%,,,,,,,"Rs.11,900 - 13,600","11,900 - 13,600",11900,13600,12750,203%,,,,,,
Chikhal Dongari,"Rs.4,080 - 4,675/sq. ft.","4,080 - 4,675",4080,4675,4377.5,2.97%,"Rs.4,530 - 5,890","4,530 - 5,890",4530,5890,5210,119%,"Rs.5,539 - 7,385","5,539 - 7,385",5539,7385,6462,148%,,,,,,
Chikholi,"Rs.3,060 - 3,358/sq. ft.","3,060 - 3,358",3060,3358,3209,2.74%,"Rs.3,820 - 4,366","3,820 - 4,366",3820,4366,4093,128%,,,,,,,,,,,,
Chikuwadi,"Rs.15,045 - 17,128/sq. ft.","15,045 - 17,128",15045,17128,16086.5,-0.51%,"Rs.15,667 - 18,278","15,667 - 18,278",15667,18278,16972.5,106%,,,,,,,,,,,,
Chincholi Bunder,"Rs.15,002 - 16,745/sq. ft.","15,002 - 16,745",15002,16745,15873.5,1.09%,"Rs.21,408 - 24,030","21,408 - 24,030",21408,24030,22719,143%,"Rs.26,596 - 29,763","26,596 - 29,763",26596,29763,28179.5,178%,,,,,,
Churchgate,"Rs.40,928 - 50,575/sq. ft.","40,928 - 50,575",40928,50575,45751.5,1.32%,,,,,,,,,,,,,"Rs.1,59,173 - 2,08,823","1,59,173 - 2,08,823",159173,208823,183998,402%
Churi Wadi,"Rs.14,705 - 15,725/sq. ft.","14,705 - 15,725",14705,15725,15215,,,,,,,,,,,,,,,,,,,
Colaba,"Rs.36,720 - 45,688/sq. ft.","36,720 - 45,688",36720,45688,41204,0.53%,"Rs.50,490 - 56,100","50,490 - 56,100",50490,56100,53295,129%,"Rs.79,700 - 94,881","79,700 - 94,881",79700,94881,87290.5,212%,"Rs.1,60,380 - 1,90,281","1,60,380 - 1,90,281",160380,190281,175330.5,426%
Collectors Colony Chembur,"Rs.16,278 - 17,595/sq. ft.","16,278 - 17,595",16278,17595,16936.5,,"Rs.24,840 - 26,751","24,840 - 26,751",24840,26751,25795.5,152%,"Rs.31,633 - 35,850","31,633 - 35,850",31633,35850,33741.5,199%,,,,,,
Cuffe Parade,"Rs.47,728 - 56,738/sq. ft.","47,728 - 56,738",47728,56738,52233,-1.14%,,,,,,,"Rs.1,10,106 - 1,25,589","1,10,106 - 1,25,589",110106,125589,117847.5,226%,"Rs.1,67,290 - 2,00,483","1,67,290 - 2,00,483",167290,200483,183886.5,352%
Dadar,"Rs.29,112 - 36,380/sq. ft.","29,112 - 36,380",29112,36380,32746,-0.92%,"Rs.27,399 - 32,416","27,399 - 32,416",27399,32416,29907.5,91%,"Rs.65,450 - 79,050","65,450 - 79,050",65450,79050,72250,221%,"Rs.1,32,567 - 1,72,479","1,32,567 - 1,72,479",132567,172479,152523,466%
Dadar (East),"Rs.25,458 - 28,772/sq. ft.","25,458 - 28,772",25458,28772,27115,1%,"Rs.35,182 - 37,592","35,182 - 37,592",35182,37592,36387,134%,"Rs.59,500 - 72,250","59,500 - 72,250",59500,72250,65875,243%,"Rs.1,22,464 - 1,39,753","1,22,464 - 1,39,753",122464,139753,131108.5,484%
Dadar (West),"Rs.31,152 - 37,230/sq. ft.","31,152 - 37,230",31152,37230,34191,-2.59%,"Rs.27,158 - 32,130","27,158 - 32,130",27158,32130,29644,87%,"Rs.65,450 - 80,750","65,450 - 80,750",65450,80750,73100,214%,"Rs.1,34,152 - 1,75,539","1,34,152 - 1,75,539",134152,175539,154845.5,453%
Dahanukar Wadi,"Rs.14,280 - 16,745/sq. ft.","14,280 - 16,745",14280,16745,15512.5,-1.93%,,,,,,,,,,,,,,,,,,
Dahisar,"Rs.10,412 - 12,622/sq. ft.","10,412 - 12,622",10412,12622,11517,-0.37%,"Rs.13,064 - 14,866","13,064 - 14,866",13064,14866,13965,121%,"Rs.17,468 - 20,961","17,468 - 20,961",17468,20961,19214.5,167%,"Rs.25,296 - 26,350","25,296 - 26,350",25296,26350,25823,224%
Dahisar (East),"Rs.10,072 - 11,815/sq. ft.","10,072 - 11,815",10072,11815,10943.5,-1.55%,"Rs.12,566 - 13,913","12,566 - 13,913",12566,13913,13239.5,121%,"Rs.16,606 - 19,373","16,606 - 19,373",16606,19373,17989.5,164%,"Rs.25,255 - 26,308","25,255 - 26,308",25255,26308,25781.5,236%
Dahisar (West),"Rs.13,600 - 15,172/sq. ft.","13,600 - 15,172",13600,15172,14386,-2.31%,"Rs.14,866 - 16,218","14,866 - 16,218",14866,16218,15542,108%,"Rs.21,675 - 24,565","21,675 - 24,565",21675,24565,23120,161%,,,,,,
Dattapada,"Rs.15,598 - 17,722/sq. ft.","15,598 - 17,722",15598,17722,16660,4.47%,,,,,,,,,,,,,,,,,,
Daulat Nagar,"Rs.15,172 - 16,915/sq. ft.","15,172 - 16,915",15172,16915,16043.5,,,,,,,,,,,,,,,,,,,
Deonar,"Rs.17,680 - 21,208/sq. ft.","17,680 - 21,208",17680,21208,19444,5.01%,,,,,,,"Rs.40,429 - 47,311","40,429 - 47,311",40429,47311,43870,226%,"Rs.60,792 - 73,457","60,792 - 73,457",60792,73457,67124.5,345%
Desale Pada,"Rs.3,485 - 4,378/sq. ft.","3,485 - 4,378",3485,4378,3931.5,-3.23%,,,,,,,,,,,,,,,,,,
Devad,"Rs.4,122 - 4,675/sq. ft.","4,122 - 4,675",4122,4675,4398.5,-0.97%,,,,,,,,,,,,,,,,,,
Devicha Pada,"Rs.5,058 - 5,610/sq. ft.","5,058 - 5,610",5058,5610,5334,-0.79%,,,,,,,,,,,,,,,,,,
Devipada,"Rs.14,068 - 15,215/sq. ft.","14,068 - 15,215",14068,15215,14641.5,2.96%,,,,,,,,,,,,,,,,,,
Dhobi Ali,"Rs.10,328 - 10,922/sq. ft.","10,328 - 10,922",10328,10922,10625,5.93%,,,,,,,,,,,,,,,,,,
Dhokali,"Rs.9,392 - 10,412/sq. ft.","9,392 - 10,412",9392,10412,9902,-0.43%,"Rs.12,750 - 14,280","12,750 - 14,280",12750,14280,13515,136%,"Rs.17,536 - 20,586","17,536 - 20,586",17536,20586,19061,192%,"Rs.20,107 - 26,456","20,107 - 26,456",20107,26456,23281.5,235%
Dina Bama Estate,"Rs.14,535 - 15,428/sq. ft.","14,535 - 15,428",14535,15428,14981.5,-0.57%,"Rs.22,440 - 24,480","22,440 - 24,480",22440,24480,23460,157%,"Rs.27,044 - 28,363","27,044 - 28,363",27044,28363,27703.5,185%,"Rs.40,358 - 45,403","40,358 - 45,403",40358,45403,42880.5,286%
Dindoshi,"Rs.14,365 - 16,872/sq. ft.","14,365 - 16,872",14365,16872,15618.5,12.01%,"Rs.19,354 - 21,879","19,354 - 21,879",19354,21879,20616.5,132%,"Rs.27,455 - 33,235","27,455 - 33,235",27455,33235,30345,194%,"Rs.49,966 - 54,509","49,966 - 54,509",49966,54509,52237.5,334%
Diva Gaon,"Rs.2,380 - 2,762/sq. ft.","2,380 - 2,762",2380,2762,2571,,,,,,,,,,,,,,,,,,,
DN Nagar,"Rs.18,148 - 21,250/sq. ft.","18,148 - 21,250",18148,21250,19699,-1.91%,,,,,,,"Rs.36,125 - 43,350","36,125 - 43,350",36125,43350,39737.5,202%,"Rs.54,835 - 71,808","54,835 - 71,808",54835,71808,63321.5,321%
Dokali Pada,"Rs.9,052 - 10,328/sq. ft.","9,052 - 10,328",9052,10328,9690,2.7%,,,,,,,"Rs.17,497 - 21,301","17,497 - 21,301",17497,21301,19399,200%,,,,,,
Dombivli (East),"Rs.5,270 - 6,035/sq. ft.","5,270 - 6,035",5270,6035,5652.5,1.53%,"Rs.6,365 - 7,834","6,365 - 7,834",6365,7834,7099.5,126%,"Rs.9,381 - 10,825","9,381 - 10,825",9381,10825,10103,179%,"Rs.10,266 - 13,066","10,266 - 13,066",10266,13066,11666,206%
Dombivli (West),"Rs.5,185 - 5,950/sq. ft.","5,185 - 5,950",5185,5950,5567.5,0%,,,,,,,"Rs.7,684 - 9,989","7,684 - 9,989",7684,9989,8836.5,159%,,,,,,
Dongarpada,"Rs.3,740 - 4,930/sq. ft.","3,740 - 4,930",3740,4930,4335,,,,,,,,,,,,,,,,,,,
Dronagiri,"Rs.4,080 - 4,675/sq. ft.","4,080 - 4,675",4080,4675,4377.5,5.15%,,,,,,,,,,,,,,,,,,
Eksar,"Rs.15,640 - 17,510/sq. ft.","15,640 - 17,510",15640,17510,16575,,,,,,,,,,,,,,,,,,,
Ekta Nagar,"Rs.9,478 - 10,795/sq. ft.","9,478 - 10,795",9478,10795,10136.5,12.26%,"Rs.12,342 - 14,212","12,342 - 14,212",12342,14212,13277,131%,,,,,,,,,,,,
Evershine Nagar,"Rs.14,025 - 15,555/sq. ft.","14,025 - 15,555",14025,15555,14790,-2.25%,"Rs.15,580 - 17,978","15,580 - 17,978",15580,17978,16779,113%,"Rs.29,070 - 31,492","29,070 - 31,492",29070,31492,30281,205%,,,,,,
Film City Road,"Rs.14,705 - 16,745/sq. ft.","14,705 - 16,745",14705,16745,15725,3.59%,"Rs.20,918 - 23,192","20,918 - 23,192",20918,23192,22055,140%,"Rs.33,017 - 37,250","33,017 - 37,250",33017,37250,35133.5,223%,"Rs.39,419 - 43,924","39,419 - 43,924",39419,43924,41671.5,265%
G B Road,"Rs.8,372 - 9,902/sq. ft.","8,372 - 9,902",8372,9902,9137,1.91%,,,,,,,,,,,,,,,,,,
Gamdevi,"Rs.38,718 - 49,342/sq. ft.","38,718 - 49,342",38718,49342,44030,0%,,,,,,,,,,,,,,,,,,
Gandhar Nagar,"Rs.5,780 - 6,460/sq. ft.","5,780 - 6,460",5780,6460,6120,0%,"Rs.7,140 - 8,160","7,140 - 8,160",7140,8160,7650,125%,"Rs.10,498 - 12,112","10,498 - 12,112",10498,12112,11305,185%,,,,,,
Gandhi Nagar,"Rs.29,792 - 34,425/sq. ft.","29,792 - 34,425",29792,34425,32108.5,-0.64%,,,,,,,,,,,,,"Rs.1,48,750 - 1,75,525","1,48,750 - 1,75,525",148750,175525,162137.5,505%
Ganesh Nagar,"Rs.13,728 - 15,002/sq. ft.","13,728 - 15,002",13728,15002,14365,-1.15%,"Rs.19,168 - 21,038","19,168 - 21,038",19168,21038,20103,140%,"Rs.29,338 - 33,099","29,338 - 33,099",29338,33099,31218.5,217%,"Rs.40,162 - 47,048","40,162 - 47,048",40162,47048,43605,304%
Garodia Nagar,"Rs.18,360 - 20,868/sq. ft.","18,360 - 20,868",18360,20868,19614,,,,,,,,,,,,,,,,,,,
Gauripada,"Rs.5,228 - 6,035/sq. ft.","5,228 - 6,035",5228,6035,5631.5,2.96%,,,,,,,,,,,,,,,,,,
Gavanpada,"Rs.14,705 - 16,235/sq. ft.","14,705 - 16,235",14705,16235,15470,,"Rs.14,884 - 19,699","14,884 - 19,699",14884,19699,17291.5,112%,,,,,,,,,,,,
Gawand Baug,"Rs.9,648 - 10,838/sq. ft.","9,648 - 10,838",9648,10838,10243,2.15%,,,,,,,,,,,,,,,,,,
Geeta Nagar,"Rs.6,758 - 8,118/sq. ft.","6,758 - 8,118",6758,8118,7438,-6.45%,,,,,,,,,,,,,,,,,,
Ghansoli,"Rs.9,945 - 11,900/sq. ft.","9,945 - 11,900",9945,11900,10922.5,-2.27%,"Rs.11,302 - 13,185","11,302 - 13,185",11302,13185,12243.5,112%,"Rs.22,100 - 25,500","22,100 - 25,500",22100,25500,23800,218%,"Rs.31,280 - 37,536","31,280 - 37,536",31280,37536,34408,315%
Ghatkopar (East),"Rs.16,575 - 20,315/sq. ft.","16,575 - 20,315",16575,20315,18445,3.66%,"Rs.20,400 - 24,480","20,400 - 24,480",20400,24480,22440,122%,"Rs.31,365 - 38,250","31,365 - 38,250",31365,38250,34807.5,189%,"Rs.53,326 - 63,248","53,326 - 63,248",53326,63248,58287,316%
Ghatkopar West,"Rs.15,385 - 17,000/sq. ft.","15,385 - 17,000",15385,17000,16192.5,-1.29%,"Rs.20,385 - 22,811","20,385 - 22,811",20385,22811,21598,133%,"Rs.37,141 - 41,268","37,141 - 41,268",37141,41268,39204.5,242%,"Rs.56,419 - 65,195","56,419 - 65,195",56419,65195,60807,376%
Ghodbunder Road,"Rs.8,500 - 10,412/sq. ft.","8,500 - 10,412",8500,10412,9456,0.46%,"Rs.11,613 - 14,642","11,613 - 14,642",11613,14642,13127.5,139%,"Rs.16,833 - 20,840","16,833 - 20,840",16833,20840,18836.5,199%,"Rs.25,787 - 31,648","25,787 - 31,648",25787,31648,28717.5,304%
Ghodev,"Rs.7,098 - 7,948/sq. ft.","7,098 - 7,948",7098,7948,7523,4.19%,,,,,,,,,,,,,,,,,,
Girgaon,"Rs.27,540 - 32,725/sq. ft.","27,540 - 32,725",27540,32725,30132.5,,,,,,,,,,,,,,,,,,,
Gograswadi,"Rs.5,525 - 6,375/sq. ft.","5,525 - 6,375",5525,6375,5950,,,,,,,,,,,,,,,,,,,
Gokul Township,"Rs.4,760 - 5,228/sq. ft.","4,760 - 5,228",4760,5228,4994,0%,,,,,,,,,,,,,,,,,,
Gokuldham,"Rs.14,280 - 15,640/sq. ft.","14,280 - 15,640",14280,15640,14960,-3.29%,"Rs.19,125 - 21,250","19,125 - 21,250",19125,21250,20187.5,135%,"Rs.36,168 - 40,078","36,168 - 40,078",36168,40078,38123,255%,"Rs.53,491 - 59,975","53,491 - 59,975",53491,59975,56733,379%
Gorai,"Rs.14,578 - 17,892/sq. ft.","14,578 - 17,892",14578,17892,16235,13.54%,,,,,,,,,,,,,,,,,,
Goregaon (East),"Rs.15,088 - 18,232/sq. ft.","15,088 - 18,232",15088,18232,16660,-2.26%,"Rs.19,518 - 22,695","19,518 - 22,695",19518,22695,21106.5,127%,"Rs.33,150 - 38,250","33,150 - 38,250",33150,38250,35700,214%,"Rs.62,135 - 73,695","62,135 - 73,695",62135,73695,67915,408%
Goregaon (West),"Rs.15,682 - 18,360/sq. ft.","15,682 - 18,360",15682,18360,17021,3.9%,"Rs.20,102 - 23,842","20,102 - 23,842",20102,23842,21972,129%,"Rs.32,094 - 36,679","32,094 - 36,679",32094,36679,34386.5,202%,"Rs.48,319 - 56,185","48,319 - 56,185",48319,56185,52252,307%
Govandi,"Rs.12,835 - 16,532/sq. ft.","12,835 - 16,532",12835,16532,14683.5,3.78%,,,,,,,,,,,,,,,,,,
Hanuman Nagar,"Rs.11,432 - 13,642/sq. ft.","11,432 - 13,642",11432,13642,12537,6.81%,,,,,,,,,,,,,,,,,,
Hanuman Nagar,"Rs.34,128 - 40,588/sq. ft.","34,128 - 40,588",34128,40588,37358,4.85%,,,,,,,,,,,,,"Rs.1,73,442 - 2,18,492","1,73,442 - 2,18,492",173442,218492,195967,525%
Hatkesh Udhog Nagar,"Rs.7,012 - 7,778/sq. ft.","7,012 - 7,778",7012,7778,7395,2.35%,"Rs.9,139 - 10,445","9,139 - 10,445",9139,10445,9792,132%,"Rs.12,179 - 13,532","12,179 - 13,532",12179,13532,12855.5,174%,,,,,,
Hemu Colony,"Rs.13,388 - 15,088/sq. ft.","13,388 - 15,088",13388,15088,14238,,,,,,,,,,,,,,,,,,,
Hendre Pada,"Rs.3,485 - 3,868/sq. ft.","3,485 - 3,868",3485,3868,3676.5,0%,,,,,,,,,,,,,,,,,,
Hindu Colony,"Rs.31,238 - 34,170/sq. ft.","31,238 - 34,170",31238,34170,32704,,,,,,,,,,,,,,,,,,,
Hiranandani Estate,"Rs.11,348 - 13,218/sq. ft.","11,348 - 13,218",11348,13218,12283,-0.34%,"Rs.15,810 - 17,340","15,810 - 17,340",15810,17340,16575,135%,"Rs.21,619 - 24,021","21,619 - 24,021",21619,24021,22820,186%,"Rs.30,451 - 34,105","30,451 - 34,105",30451,34105,32278,263%
Hiranandani Gardens - Powai,"Rs.25,500 - 30,685/sq. ft.","25,500 - 30,685",25500,30685,28092.5,-1.19%,"Rs.29,325 - 34,212","29,325 - 34,212",29325,34212,31768.5,113%,"Rs.52,006 - 61,384","52,006 - 61,384",52006,61384,56695,202%,"Rs.89,972 - 1,09,692","89,972 - 1,09,692",89972,109692,99832,355%
Hiranandani Meadows,"Rs.14,620 - 17,000/sq. ft.","14,620 - 17,000",14620,17000,15810,-6.09%,,,,,,,"Rs.25,474 - 28,022","25,474 - 28,022",25474,28022,26748,169%,"Rs.33,048 - 37,944","33,048 - 37,944",33048,37944,35496,225%
I C Colony,"Rs.14,832 - 16,872/sq. ft.","14,832 - 16,872",14832,16872,15852,0.53%,"Rs.14,198 - 15,973","14,198 - 15,973",14198,15973,15085.5,95%,"Rs.23,399 - 25,663","23,399 - 25,663",23399,25663,24531,155%,,,,,,
Irani Wadi,"Rs.14,705 - 17,128/sq. ft.","14,705 - 17,128",14705,17128,15916.5,,,,,,,,,,,,,,,,,,,
J B Nagar,"Rs.17,085 - 19,338/sq. ft.","17,085 - 19,338",17085,19338,18211.5,0.69%,"Rs.24,544 - 26,775","24,544 - 26,775",24544,26775,25659.5,141%,"Rs.37,952 - 44,412","37,952 - 44,412",37952,44412,41182,226%,,,,,,
Jacob Circle,"Rs.41,140 - 47,642/sq. ft.","41,140 - 47,642",41140,47642,44391,,,,,,,,"Rs.1,23,831 - 1,39,182","1,23,831 - 1,39,182",123831,139182,131506.5,296%,"Rs.1,86,405 - 2,10,970","1,86,405 - 2,10,970",186405,210970,198687.5,448%
Jadhav Colony,"Rs.3,060 - 3,485/sq. ft.","3,060 - 3,485",3060,3485,3272.5,,,,,,,,,,,,,,,,,,,
Jagdusha Nagar,"Rs.13,982 - 15,342/sq. ft.","13,982 - 15,342",13982,15342,14662,,"Rs.16,065 - 18,742","16,065 - 18,742",16065,18742,17403.5,119%,,,,,,,,,,,,
Jankalyan Nagar,"Rs.11,560 - 13,260/sq. ft.","11,560 - 13,260",11560,13260,12410,2.11%,"Rs.16,541 - 18,431","16,541 - 18,431",16541,18431,17486,141%,"Rs.22,924 - 25,981","22,924 - 25,981",22924,25981,24452.5,197%,,,,,,
Jawahar Nagar,"Rs.15,130 - 17,680/sq. ft.","15,130 - 17,680",15130,17680,16405,7.08%,"Rs.16,906 - 21,675","16,906 - 21,675",16906,21675,19290.5,118%,"Rs.26,732 - 30,345","26,732 - 30,345",26732,30345,28538.5,174%,,,,,,
Jay Prakash Nagar,"Rs.15,938 - 17,552/sq. ft.","15,938 - 17,552",15938,17552,16745,,"Rs.18,700 - 21,505","18,700 - 21,505",18700,21505,20102.5,120%,"Rs.27,455 - 31,068","27,455 - 31,068",27455,31068,29261.5,175%,,,,,,
Jeejamata Nagar,"Rs.11,432 - 12,282/sq. ft.","11,432 - 12,282",11432,12282,11857,0.36%,,,,,,,"Rs.24,553 - 28,330","24,553 - 28,330",24553,28330,26441.5,223%,"Rs.32,531 - 35,034","32,531 - 35,034",32531,35034,33782.5,285%
Jesal Park,"Rs.8,160 - 9,690/sq. ft.","8,160 - 9,690",8160,9690,8925,,,,,,,,,,,,,,,,,,,
Jijamata Nagar,"Rs.11,178 - 12,410/sq. ft.","11,178 - 12,410",11178,12410,11794,-9.03%,,,,,,,"Rs.24,378 - 27,425","24,378 - 27,425",24378,27425,25901.5,220%,"Rs.34,595 - 45,602","34,595 - 45,602",34595,45602,40098.5,340%
Jogeshwari (East),"Rs.17,765 - 22,950/sq. ft.","17,765 - 22,950",17765,22950,20357.5,,"Rs.22,908 - 26,648","22,908 - 26,648",22908,26648,24778,122%,"Rs.39,950 - 44,200","39,950 - 44,200",39950,44200,42075,207%,"Rs.58,851 - 65,390","58,851 - 65,390",58851,65390,62120.5,305%
Jogeshwari (West),"Rs.14,450 - 16,915/sq. ft.","14,450 - 16,915",14450,16915,15682.5,0.82%,"Rs.20,102 - 22,440","20,102 - 22,440",20102,22440,21271,136%,"Rs.32,300 - 41,182","32,300 - 41,182",32300,41182,36741,234%,,,,,,
Joveli Gaon,"Rs.2,635 - 2,635/sq. ft.","2,635 - 2,635",2635,2635,2635,,,,,,,,,,,,,,,,,,,
Juchandra,"Rs.3,825 - 4,420/sq. ft.","3,825 - 4,420",3825,4420,4122.5,6.67%,,,,,,,,,,,,,,,,,,
Juhu,"Rs.31,875 - 39,610/sq. ft.","31,875 - 39,610",31875,39610,35742.5,0.12%,"Rs.32,120 - 37,873","32,120 - 37,873",32120,37873,34996.5,98%,"Rs.60,350 - 79,900","60,350 - 79,900",60350,79900,70125,196%,"Rs.1,31,782 - 1,58,435","1,31,782 - 1,58,435",131782,158435,145108.5,406%
Juhu Scheme,"Rs.28,475 - 37,315/sq. ft.","28,475 - 37,315",28475,37315,32895,,,,,,,,,,,,,,"Rs.1,29,486 - 1,59,253","1,29,486 - 1,59,253",129486,159253,144369.5,439%
Jui Nagar,"Rs.8,288 - 10,412/sq. ft.","8,288 - 10,412",8288,10412,9350,5.12%,,,,,,,,,,,,,,,,,,
JVLR,"Rs.15,938 - 20,698/sq. ft.","15,938 - 20,698",15938,20698,18318,,"Rs.21,926 - 24,318","21,926 - 24,318",21926,24318,23122,126%,"Rs.39,950 - 45,050","39,950 - 45,050",39950,45050,42500,232%,,,,,,
JVPD,"Rs.35,700 - 43,052/sq. ft.","35,700 - 43,052",35700,43052,39376,4.25%,,,,,,,,,,,,,"Rs.1,40,828 - 1,63,064","1,40,828 - 1,63,064",140828,163064,151946,386%
Kailash Nagar,"Rs.9,350 - 10,285/sq. ft.","9,350 - 10,285",9350,10285,9817.5,0%,,,,,,,,,,,,,,,,,,
Kajupada,"Rs.10,285 - 11,092/sq. ft.","10,285 - 11,092",10285,11092,10688.5,-8.55%,,,,,,,,,,,,,,,,,,
Kalamboli,"Rs.6,035 - 6,672/sq. ft.","6,035 - 6,672",6035,6672,6353.5,1.36%,"Rs.7,556 - 9,176","7,556 - 9,176",7556,9176,8366,132%,"Rs.10,271 - 11,983","10,271 - 11,983",10271,11983,11127,175%,"Rs.11,516 - 13,435","11,516 - 13,435",11516,13435,12475.5,196%
Kalher,"Rs.2,975 - 3,400/sq. ft.","2,975 - 3,400",2975,3400,3187.5,-12.5%,,,,,,,,,,,,,,,,,,
Kalina,"Rs.17,510 - 20,825/sq. ft.","17,510 - 20,825",17510,20825,19167.5,4.13%,"Rs.28,988 - 34,986","28,988 - 34,986",28988,34986,31987,167%,"Rs.40,185 - 49,283","40,185 - 49,283",40185,49283,44734,233%,"Rs.65,280 - 75,480","65,280 - 75,480",65280,75480,70380,367%
Kalu Nagar,"Rs.5,142 - 6,078/sq. ft.","5,142 - 6,078",5142,6078,5610,,,,,,,,,,,,,,,,,,,
Kalwa,"Rs.7,565 - 8,500/sq. ft.","7,565 - 8,500",7565,8500,8032.5,1.06%,"Rs.10,540 - 12,121","10,540 - 12,121",10540,12121,11330.5,141%,"Rs.13,424 - 15,793","13,424 - 15,793",13424,15793,14608.5,182%,,,,,,
Kalwa,"Rs.6,800 - 7,862/sq. ft.","6,800 - 7,862",6800,7862,7331,7.32%,,,,,,,,,,,,,,,,,,
Kalyan (East),"Rs.4,590 - 5,695/sq. ft.","4,590 - 5,695",4590,5695,5142.5,-0.83%,,,,,,,,,,,,,,,,,,
Kalyan (West),"Rs.5,270 - 6,120/sq. ft.","5,270 - 6,120",5270,6120,5695,0.75%,"Rs.6,630 - 7,650","6,630 - 7,650",6630,7650,7140,125%,"Rs.10,663 - 12,304","10,663 - 12,304",10663,12304,11483.5,202%,,,,,,
Kamothe,"Rs.6,375 - 7,140/sq. ft.","6,375 - 7,140",6375,7140,6757.5,1.28%,"Rs.7,599 - 8,612","7,599 - 8,612",7599,8612,8105.5,120%,"Rs.10,973 - 12,661","10,973 - 12,661",10973,12661,11817,175%,"Rs.13,709 - 15,994","13,709 - 15,994",13709,15994,14851.5,220%
