Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Vikhroli (West),"Rs.12,920 - 15,045/sq. ft.","12,920 - 15,045",12920,15045,13982.5,,"Rs.20,923 - 25,572","20,923 - 25,572",20923,25572,23247.5,166%,"Rs.36,307 - 40,629","36,307 - 40,629",36307,40629,38468,275%,,,,,,
Vile Parle (East),"Rs.25,840 - 29,920/sq. ft.","25,840 - 29,920",25840,29920,27880,2.66%,"Rs.31,472 - 35,287","31,472 - 35,287",31472,35287,33379.5,120%,"Rs.47,685 - 52,742","47,685 - 52,742",47685,52742,50213.5,180%,"Rs.71,400 - 77,520","71,400 - 77,520",71400,77520,74460,267%
Vile Parle (West),"Rs.27,668 - 32,555/sq. ft.","27,668 - 32,555",27668,32555,30111.5,11.71%,"Rs.30,903 - 37,995","30,903 - 37,995",30903,37995,34449,114%,"Rs.54,713 - 63,072","54,713 - 63,072",54713,63072,58892.5,196%,,,,,,
Vinay Nagar,"Rs.7,012 - 7,990/sq. ft.","7,012 - 7,990",7012,7990,7501,5.42%,,,,,,,,,,,,,,,,,,
Virar,"Rs.4,080 - 4,718/sq. ft.","4,080 - 4,718",4080,4718,4399,5.05%,"Rs.4,684 - 5,620","4,684 - 5,620",4684,5620,5152,117%,"Rs.6,044 - 7,386","6,044 - 7,386",6044,7386,6715,153%,"Rs.6,916 - 8,644","6,916 - 8,644",6916,8644,7780,177%
Virar East,"Rs.3,442 - 4,335/sq. ft.","3,442 - 4,335",3442,4335,3888.5,1.11%,"Rs.3,995 - 5,194","3,995 - 5,194",3995,5194,4594.5,118%,,,,,,,,,,,,
Virar West,"Rs.4,165 - 4,760/sq. ft.","4,165 - 4,760",4165,4760,4462.5,5%,"Rs.4,684 - 5,620","4,684 - 5,620",4684,5620,5152,115%,"Rs.6,044 - 7,386","6,044 - 7,386",6044,7386,6715,150%,"Rs.6,916 - 8,644","6,916 - 8,644",6916,8644,7780,174%
Vishnunagar,"Rs.5,865 - 7,438/sq. ft.","5,865 - 7,438",5865,7438,6651.5,-7.78%,,,,,,,,,,,,,,,,,,
Vitawa,"Rs.5,015 - 5,695/sq. ft.","5,015 - 5,695",5015,5695,5355,,,,,,,,,,,,,,,,,,,
Wadala,"Rs.18,742 - 21,250/sq. ft.","18,742 - 21,250",18742,21250,19996,-1.68%,"Rs.31,640 - 34,517","31,640 - 34,517",31640,34517,33078.5,165%,"Rs.47,369 - 55,264","47,369 - 55,264",47369,55264,51316.5,257%,"Rs.59,900 - 67,886","59,900 - 67,886",59900,67886,63893,320%
Wadala East,"Rs.19,040 - 21,080/sq. ft.","19,040 - 21,080",19040,21080,20060,-1.25%,"Rs.29,060 - 31,261","29,060 - 31,261",29060,31261,30160.5,150%,"Rs.44,870 - 49,949","44,870 - 49,949",44870,49949,47409.5,236%,"Rs.61,883 - 69,782","61,883 - 69,782",61883,69782,65832.5,328%
Wadala West,"Rs.22,440 - 25,288/sq. ft.","22,440 - 25,288",22440,25288,23864,,"Rs.39,046 - 42,299","39,046 - 42,299",39046,42299,40672.5,170%,"Rs.48,746 - 55,967","48,746 - 55,967",48746,55967,52356.5,219%,,,,,,
Waghbil,"Rs.8,202 - 8,798/sq. ft.","8,202 - 8,798",8202,8798,8500,0%,"Rs.11,144 - 12,597","11,144 - 12,597",11144,12597,11870.5,140%,"Rs.14,793 - 17,908","14,793 - 17,908",14793,17908,16350.5,192%,,,,,,
Walkeshwar,"Rs.46,198 - 57,248/sq. ft.","46,198 - 57,248",46198,57248,51723,,,,,,,,,,,,,,"Rs.1,87,680 - 2,08,080","1,87,680 - 2,08,080",187680,208080,197880,383%
Wayale Nagar,"Rs.5,312 - 6,078/sq. ft.","5,312 - 6,078",5312,6078,5695,-9.79%,,,,,,,,,,,,,,,,,,
Wayle Nagar,"Rs.5,908 - 6,588/sq. ft.","5,908 - 6,588",5908,6588,6248,0.69%,"Rs.6,763 - 8,323","6,763 - 8,323",6763,8323,7543,121%,"Rs.10,498 - 12,112","10,498 - 12,112",10498,12112,11305,181%,,,,,,
Worli,"Rs.32,852 - 38,462/sq. ft.","32,852 - 38,462",32852,38462,35657,2.48%,"Rs.26,392 - 34,808","26,392 - 34,808",26392,34808,30600,86%,"Rs.74,078 - 89,250","74,078 - 89,250",74078,89250,81664,229%,"Rs.1,54,460 - 1,95,769","1,54,460 - 1,95,769",154460,195769,175114.5,491%
Y K Nagar,"Rs.5,100 - 5,398/sq. ft.","5,100 - 5,398",5100,5398,5249,0%,,,,,,,,,,,,,,,,,,
Yari Road,"Rs.18,530 - 20,825/sq. ft.","18,530 - 20,825",18530,20825,19677.5,-1.69%,"Rs.26,775 - 31,025","26,775 - 31,025",26775,31025,28900,147%,"Rs.47,660 - 52,198","47,660 - 52,198",47660,52198,49929,254%,,,,,,
Yogi Nagar,"Rs.16,448 - 17,808/sq. ft.","16,448 - 17,808",16448,17808,17128,-0.48%,,,,,,,,,,,,,,,,,,
Yogidham,"Rs.5,525 - 6,418/sq. ft.","5,525 - 6,418",5525,6418,5971.5,7.81%,"Rs.6,818 - 8,391","6,818 - 8,391",6818,8391,7604.5,127%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
